strike,call_price,put_price,spot,expiration
480.0,220.77,1.15,694.5599,2026-05-15
495.0,199.81,1.36,694.5599,2026-05-15
500.0,198.79,1.37,694.5599,2026-05-15
505.0,182.5,1.49,694.5599,2026-05-15
510.0,188.66,1.51,694.5599,2026-05-15
515.0,177.51,1.85,694.5599,2026-05-15
520.0,170.02,1.67,694.5599,2026-05-15
525.0,162.32,1.93,694.5599,2026-05-15
530.0,169.99,1.85,694.5599,2026-05-15
545.0,155.6,2.18,694.5599,2026-05-15
550.0,150.8,2.29,694.5599,2026-05-15
555.0,145.99,2.43,694.5599,2026-05-15
560.0,139.78,2.66,694.5599,2026-05-15
565.0,131.95,2.83,694.5599,2026-05-15
570.0,122.65,2.99,694.5599,2026-05-15
575.0,127.89,3.35,694.5599,2026-05-15
580.0,120.74,3.5,694.5599,2026-05-15
585.0,114.24,3.65,694.5599,2026-05-15
590.0,100.77,3.82,694.5599,2026-05-15
595.0,108.8,4.17,694.5599,2026-05-15
600.0,104.5,4.38,694.5599,2026-05-15
605.0,87.1,4.71,694.5599,2026-05-15
610.0,94.6,5.05,694.5599,2026-05-15
615.0,83.92,5.57,694.5599,2026-05-15
620.0,81.18,5.79,694.5599,2026-05-15
625.0,76.27,6.26,694.5599,2026-05-15
630.0,77.09,6.73,694.5599,2026-05-15
635.0,71.88,7.25,694.5599,2026-05-15
640.0,68.55,7.85,694.5599,2026-05-15
645.0,60.15,8.71,694.5599,2026-05-15
650.0,60.0,9.18,694.5599,2026-05-15
651.0,46.55,9.44,694.5599,2026-05-15
653.0,51.88,15.26,694.5599,2026-05-15
654.0,53.48,10.2,694.5599,2026-05-15
655.0,49.7,10.06,694.5599,2026-05-15
656.0,50.6,10.19,694.5599,2026-05-15
657.0,51.91,10.6,694.5599,2026-05-15
660.0,50.8,10.94,694.5599,2026-05-15
662.0,48.63,12.38,694.5599,2026-05-15
663.0,45.76,17.8,694.5599,2026-05-15
664.0,44.15,18.07,694.5599,2026-05-15
665.0,46.55,11.8,694.5599,2026-05-15
666.0,46.4,12.0,694.5599,2026-05-15
669.0,38.22,12.95,694.5599,2026-05-15
670.0,42.0,12.57,694.5599,2026-05-15
671.0,37.9,14.38,694.5599,2026-05-15
672.0,40.46,13.45,694.5599,2026-05-15
673.0,30.28,20.74,694.5599,2026-05-15
674.0,39.2,21.06,694.5599,2026-05-15
675.0,39.46,13.73,694.5599,2026-05-15
676.0,38.57,15.79,694.5599,2026-05-15
677.0,37.54,16.04,694.5599,2026-05-15
678.0,37.19,14.66,694.5599,2026-05-15
679.0,33.09,17.53,694.5599,2026-05-15
680.0,35.69,14.86,694.5599,2026-05-15
681.0,30.43,15.56,694.5599,2026-05-15
682.0,31.98,15.7,694.5599,2026-05-15
683.0,33.36,15.78,694.5599,2026-05-15
684.0,32.74,16.73,694.5599,2026-05-15
685.0,32.05,16.21,694.5599,2026-05-15
686.0,31.21,19.9,694.5599,2026-05-15
687.0,30.07,16.7,694.5599,2026-05-15
688.0,29.73,17.1,694.5599,2026-05-15
689.0,28.7,17.46,694.5599,2026-05-15
690.0,28.5,17.73,694.5599,2026-05-15
691.0,27.63,17.95,694.5599,2026-05-15
692.0,26.26,18.61,694.5599,2026-05-15
693.0,26.41,19.04,694.5599,2026-05-15
694.0,25.25,19.38,694.5599,2026-05-15
695.0,25.04,19.45,694.5599,2026-05-15
696.0,24.3,19.78,694.5599,2026-05-15
697.0,23.12,20.5,694.5599,2026-05-15
698.0,23.08,20.83,694.5599,2026-05-15
699.0,22.4,27.74,694.5599,2026-05-15
700.0,21.81,21.25,694.5599,2026-05-15
701.0,20.97,32.01,694.5599,2026-05-15
702.0,17.92,32.26,694.5599,2026-05-15
703.0,19.97,22.62,694.5599,2026-05-15
705.0,18.83,23.21,694.5599,2026-05-15
706.0,17.77,27.43,694.5599,2026-05-15
707.0,17.39,28.25,694.5599,2026-05-15
708.0,16.83,24.57,694.5599,2026-05-15
710.0,16.04,26.05,694.5599,2026-05-15
711.0,15.55,26.53,694.5599,2026-05-15
714.0,13.61,29.43,694.5599,2026-05-15
715.0,13.45,28.3,694.5599,2026-05-15
720.0,10.95,31.47,694.5599,2026-05-15
725.0,9.13,34.72,694.5599,2026-05-15
730.0,7.07,45.98,694.5599,2026-05-15
740.0,4.6,46.95,694.5599,2026-05-15
750.0,2.66,57.6,694.5599,2026-05-15
765.0,1.26,85.8,694.5599,2026-05-15
770.0,0.96,75.0,694.5599,2026-05-15
775.0,0.73,87.59,694.5599,2026-05-15
785.0,0.33,91.74,694.5599,2026-05-15
790.0,0.34,96.76,694.5599,2026-05-15
795.0,0.3,105.52,694.5599,2026-05-15
800.0,0.24,110.54,694.5599,2026-05-15
