strike,call_price,put_price,spot,expiration,ticker
615.0,109.49,20.81,693.9500122070312,2027-01-15,SPY
620.0,112.07,21.33,693.9500122070312,2027-01-15,SPY
625.0,107.04,22.56,693.9500122070312,2027-01-15,SPY
630.0,102.98,23.58,693.9500122070312,2027-01-15,SPY
635.0,99.21,24.21,693.9500122070312,2027-01-15,SPY
640.0,96.19,25.51,693.9500122070312,2027-01-15,SPY
645.0,91.5,26.34,693.9500122070312,2027-01-15,SPY
650.0,88.12,27.82,693.9500122070312,2027-01-15,SPY
655.0,83.83,29.09,693.9500122070312,2027-01-15,SPY
660.0,80.88,30.01,693.9500122070312,2027-01-15,SPY
665.0,77.51,31.11,693.9500122070312,2027-01-15,SPY
670.0,73.51,32.82,693.9500122070312,2027-01-15,SPY
675.0,70.06,34.22,693.9500122070312,2027-01-15,SPY
680.0,66.07,35.23,693.9500122070312,2027-01-15,SPY
685.0,63.3,36.75,693.9500122070312,2027-01-15,SPY
690.0,59.75,38.91,693.9500122070312,2027-01-15,SPY
695.0,56.29,40.53,693.9500122070312,2027-01-15,SPY
700.0,53.23,42.14,693.9500122070312,2027-01-15,SPY
705.0,50.54,43.78,693.9500122070312,2027-01-15,SPY
710.0,47.08,45.84,693.9500122070312,2027-01-15,SPY
715.0,44.26,48.0,693.9500122070312,2027-01-15,SPY
720.0,41.66,49.56,693.9500122070312,2027-01-15,SPY
725.0,38.05,52.11,693.9500122070312,2027-01-15,SPY
730.0,35.63,56.5,693.9500122070312,2027-01-15,SPY
735.0,32.92,56.57,693.9500122070312,2027-01-15,SPY
740.0,31.02,65.73,693.9500122070312,2027-01-15,SPY
745.0,28.5,67.64,693.9500122070312,2027-01-15,SPY
750.0,26.04,67.51,693.9500122070312,2027-01-15,SPY
755.0,23.9,75.75,693.9500122070312,2027-01-15,SPY
760.0,21.55,79.28,693.9500122070312,2027-01-15,SPY
765.0,18.3,76.94,693.9500122070312,2027-01-15,SPY
770.0,18.05,78.9,693.9500122070312,2027-01-15,SPY
775.0,16.4,91.8,693.9500122070312,2027-01-15,SPY
780.0,14.92,87.75,693.9500122070312,2027-01-15,SPY
785.0,13.26,93.39,693.9500122070312,2027-01-15,SPY
