strike,call_price,put_price,spot,expiration,ticker
740.0,59.61,75.9,693.9500122070312,2028-01-21,SPY
745.0,62.78,78.69,693.9500122070312,2028-01-21,SPY
750.0,60.11,80.79,693.9500122070312,2028-01-21,SPY
755.0,57.33,88.48,693.9500122070312,2028-01-21,SPY
760.0,54.1,86.1,693.9500122070312,2028-01-21,SPY
765.0,51.1,94.15,693.9500122070312,2028-01-21,SPY
770.0,45.42,93.7,693.9500122070312,2028-01-21,SPY
775.0,47.82,93.93,693.9500122070312,2028-01-21,SPY
780.0,42.1,97.97,693.9500122070312,2028-01-21,SPY
785.0,41.5,100.37,693.9500122070312,2028-01-21,SPY
790.0,38.46,103.7,693.9500122070312,2028-01-21,SPY
795.0,36.55,112.17,693.9500122070312,2028-01-21,SPY
800.0,37.0,110.7,693.9500122070312,2028-01-21,SPY
805.0,35.08,142.86,693.9500122070312,2028-01-21,SPY
810.0,31.13,122.26,693.9500122070312,2028-01-21,SPY
815.0,29.12,156.4,693.9500122070312,2028-01-21,SPY
820.0,28.39,139.41,693.9500122070312,2028-01-21,SPY
825.0,27.95,148.65,693.9500122070312,2028-01-21,SPY
830.0,26.1,167.54,693.9500122070312,2028-01-21,SPY
835.0,24.57,172.75,693.9500122070312,2028-01-21,SPY
840.0,23.3,172.77,693.9500122070312,2028-01-21,SPY
845.0,21.91,176.98,693.9500122070312,2028-01-21,SPY
850.0,20.61,168.04,693.9500122070312,2028-01-21,SPY
880.0,13.11,189.73,693.9500122070312,2028-01-21,SPY
890.0,12.19,220.98,693.9500122070312,2028-01-21,SPY
900.0,10.6,209.28,693.9500122070312,2028-01-21,SPY
915.0,8.15,223.39,693.9500122070312,2028-01-21,SPY
1000.0,2.88,330.88,693.9500122070312,2028-01-21,SPY
1005.0,2.2,323.5,693.9500122070312,2028-01-21,SPY
1100.0,0.91,437.53,693.9500122070312,2028-01-21,SPY
1340.0,0.18,652.0,693.9500122070312,2028-01-21,SPY
